scientific_name,genome_name
Mycoplasma genitalium,mge
Pedobacter sp.,pek
Labilibaculum antarcticum,mbas
Streptomyces nodosus,snq
Mycobacterium sp.,mye
Mannheimia varigena,mvg
Nocardia tengchongensis,ntc
Spiroplasma sabaudiense,ssab
Rhodopseudomonas palustris,rpd
Campylobacter volucris,cvo
Caldichromatium japonicum,cjap
Ornithinimicrobium avium,orn
Bacillus licheniformis,bld
Geomonas nitrogeniifigens,gnt
Bibersteinia trehalosi,bto
Dyella sp.,dye
Rubripirellula lacrimiformis,rlc
Streptomyces coeruleorubidus,scoe
Thermocrinis ruber,trd
Actinotignum schaalii,asg
MAG: Phormidium,phor
Pontibacillus sp.,pof
Fulvivirga lutea,fuv
Bradyrhizobium icense,bic
Francisella tularensis,ftu
Delftia sp.,dhk
Brevibacterium casei,bcau
Pseudomonas aeruginosa,paeo
Dehalococcoides mccartyi,deb
Gordonia phthalatica,goq
Ichthyobacterium seriolicida,ise
Bacillus sp.,bjs
Blautia sp.,blab
Flavobacteriaceae bacterium,fbu
Neisseria perflava,npf
Selenomonas sputigena,ssg
Acidipropionibacterium virtanenii,acij
Bacillus weihenstephanensis,bww
Methylobacterium mesophilicum,mmes
Candidatus Filomicrobium,fiy
Pseudomonas nanhaiensis,pnn
Wolbachia endosymbiont,wec
Rhodopseudomonas palustris,rpt
Pandoraea norimbergensis,pnr
Natranaerofaba carboxydovora,ncd
Pseudomonas wenzhouensis,pwz
Eubacterium rectale,ert
Microbacterium hominis,mhos
Anaerostipes caccae,acac
Undibacterium piscinae,upi
Exiguobacterium sp.,eat
Saccharopolyspora sp.,sacg
Marinagarivorans sp.,marq
Enterobacteriaceae bacterium,ebf
Thioalkalimicrobium aerophilum,tao
Mycobacterium terrae,mter
Streptomyces niveus,snw
Intrasporangium calvum,ica
Aminobacterium colombiense,aco
Streptococcus salivarius,strs
Mycobacterium tuberculosis,mtn
Lactobacillus rhamnosus,lra
Maribellus comscasis,mcos
Clostridiales sp.,bprs
Sphingomonas sp.,spkc
Kosakonia radicincitans,krd
Geomonas subterranea,gsub
Yersinia ruckeri,yrb
Ferruginibacter lapsinanis,flp
Bacillus amyloliquefaciens,bxh
Caloramator sp.,cale
Chlorobium chlorochromatii,cch
Streptococcus pneumoniae,spne
Mycoplasma californicum,mcr
Helicobacter pylori,hpye
Kitasatospora sp.,kit
Streptomyces rectiverticillatus,srk
Streptomyces ficellus,sfic
Enterobacter kobei,eno
Lautropia mirabilis,lmir
Streptomyces auratus,sauh
Candidate division,wwe
Starkeya sp.,star
Kribbella flavida,kfl
Brevibacillus choshinensis,bchs
Modestobacter marinus,mmar
Chlamydophila pneumoniae,cpt
Herminiimonas arsenicoxydans,har
Treponema pallidum,tpas
Mycobacterium malmoense,mmam
Staphylococcus aureus,sauf
Aeromonas sp.,aem
Clostridium botulinum,cby
Usitatibacter palustris,upl
Anaerocolumna cellulosilytica,acel
Providencia alcalifaciens,pala
Candidatus Sulcia,sum
Ruminococcus torques,rto
Rhodopseudomonas palustris,rpb
Chthonomonas calidirosea,ccz
Desulfococcus oleovorans,dol
Streptomyces pluripotens,splu
Treponema medium,tmed
Thermodesulfobacterium geofontis,top
Leminorella richardii,lri
Candidatus Pinguicoccus,psup
Pseudomonas mosselii,pmol
Candidatus Liberibacter,lau
Anaerobacillus isosaccharinicus,aia
Francisella salimarina,fsr
Propionibacterium acnes,pacn
Nonlabens sp.,nob
Bifidobacterium scardovii,bsca
Pseudomonas marincola,pmao
Borrelia hermsii,bhr
Lysobacter soli,lsol
[Clostridium] cellulosi,ccel
Synechococcus sp.,synd
Candidatus Schneideria,sny
Jejubacter calystegiae,izh
Mycoplasma haemofelis,mhf
[Pasteurella] aerogenes,paet
Pseudomonas aeruginosa,paei
Streptococcus ratti,srat
Seonamhaeicola sp.,seon
Pseudomonas simiae,pff
Bordetella pertussis,bpet
Poseidonibacter lekithochrous,alk
Agromyces protaetiae,agf
Paenibacillus odorifer,pod
Brachyspira hampsonii,bhp
Dechlorosoma suillum,dsu
Mycoplasma hyopneumoniae,mhn
Orientia tsutsugamushi,ots
Amedibacterium intestinale,absi
Salmonella enterica,senl
Staphylococcus pseudintermedius,sdt
Alcanivorax borkumensis,abo
Micromonospora sp.,mil
Serratia ureilytica,suri
Chlamydia muridarum,cmx
Rickettsia prowazekii,rpz
Aliarcobacter lanthieri,alan
Granulibacter bethesdensis,gbh
Listeria monocytogenes,lmom
Chlorobium luteolum,plt
Herbaspirillum hiltneri,hht
Mycobacterium sp.,mbai
Shewanella woodyi,swd
Bifidobacterium lemurum,blem
Mannheimia haemolytica,mhay
Streptomyces viridosporus,svd
Rickettsia conorii,rco
Flammeovirgaceae bacterium,fbt
Pseudopedobacter saltans,psn
Bifidobacterium animalis,blv
Nocardia yamanashiensis,nya
Escherichia coli,ecoa
Hymenobacter jejuensis,hyj
Schlegelella thermodepolymerans,sthm
Micrococcus luteus,mlu
Telmatocola sphagniphila,tsph
Photorhabdus laumondii,plum
Mycoplasma gallisepticum,mgs
Mycoplasma hyopneumoniae,mhy
Fluviicola taffensis,fte
Thauera humireducens,thu
Undibacterium parvum,upv
Rhodomicrobium vannielii,rva
Escherichia coli,elc
Helicobacter pylori,heb
Haemophilus influenzae,hiu
Streptomyces griseoviridis,sgd
Pectobacterium parmentieri,ppar
Onion yellows,poy
Mycobacterium tuberculosis,mto
Kosakonia oryzae,kor
Paenibacillus lutimineralis,plut
Lactococcus lactis,llm
Dickeya solani,dso
Pseudomonas umsongensis,pum
Neomicrococcus aestuarii,nae
Thioalkalivibrio sulfidiphilus,tgr
Streptomyces nitrosporeus,snk
Haemophilus influenzae,hit
Mycoplasma conjunctivae,mco
Candidatus Nanopelagicus,abam
Streptococcus pneumoniae,spnn
Corynebacterium diphtheriae,cdd
Acidithiobacillus ferridurans,afj
Lacinutrix sp.,laci
Geobacter sulfurreducens,gsu
Listeria monocytogenes,lms
Aerococcus urinaeequi,aui
Porphyrobacter sp.,porl
Candidatus Kinetoplastibacterium,kbl
Yersinia enterocolitica,yee
Lactococcus carnosus,lcar
Mycobacterium indicus,mid
Bacillus amyloliquefaciens,bay
Geobacillus thermocatenulatus,gtm
Olleya aquimaris,oaq
Candidatus Liberibacter,lat
Blattabacterium sp.,blp
Bartonella bacilliformis,bbk
Chlamydia trachomatis,ctry
Pseudomonas fluorescens,pfs
Scardovia inopinata,sij
Kaistella carnis,ccas
Chlamydia trachomatis,ctb
Mycobacterium bovis,mbx
Candidatus Kinetoplastibacterium,kci
Phnomibacter ginsenosidimutans,fls
Edwardsiella piscicida,etc
Anoxybacillus sp.,and
Sinimarinibacterium sp.,sini
Jinshanibacter zhutongyuii,prag
Corynebacterium ulcerans,cun
Clostridium botulinum,cba
Pedobacter heparinus,phe
Listeria monocytogenes,lmoj
Staphylococcus aureus,sue
Escherichia coli,ebd
Candidatus Sulcia,smue
Mycobacterium avium,mavu
Helicobacter pylori,hpyj
Desulfosporosinus meridiei,dmi
Porphyromonas gingivalis,pgt
Helicobacter pylori,heu
Dokdonia sp.,dok
Lactobacillus reuteri,lre
Thermoanaerobacter pseudethanolicus,tpd
Salmonella enterica,sene
Streptococcus pseudoporcinus,spsu
Glycomyces sp.,gly
Gordonia insulae,gom
Bifidobacterium eulemuris,beu
Weissella ceti,wce
Mycobacterium tuberculosis,mtuc
Shigella flexneri,sfx
Thalassobius mediterraneus,tmd
Schaalia turicensis,stuc
Thermobifida fusca,tfu
Streptomyces galilaeus,sgal
Microbulbifer thermotolerans,mthd
Pseudomonas alkylphenolica,palk
Janthinobacterium tructae,jas
Formosa sp.,for
Shewanella eurypsychrophilus,seur
Candidate division,srb
Synechococcus sp.,cyb
Corynebacterium diphtheriae,cdi
Chlorobium phaeobacteroides,cpb
Macrococcus canis,mcak
Lacimicrobium alkaliphilum,lal
Mycoplasma capricolum,mcp
Desulfotomaculum ruminis,dru
Bacillus velezensis,bamt
Serratia sp.,serm
[Clostridium] innocuum,ciu
Candidatus Portiera,plc
Alteromonas pelagimontana,apel
Oceanidesulfovibrio marinus,dms
Virgibacillus sp.,vig
Treponema pallidum,tpc
Mycoplasma hyopneumoniae,mhp
Kingella kingae,kki
Capnocytophaga gingivalis,cgh
Flavobacterium indicum,fin
Crocinitomix sp.,crm
Gardnerella vaginalis,gvg
Enterobacter cancerogenus,ecan
Streptococcus salivarius,stf
Gloeobacter kilaueensis,glj
Acinetobacter seifertii,asei
Thiosulfativibrio zosterae,tzo
Mycoplasma dispar,mds
Pseudomonas monteilii,pmon
Pikeienuella piscinae,hdh
Stella humosa,shum
Saccharomonospora xinjiangensis,sacc
Acidovorax sp.,acio
Neisseria weaveri,nwe
Lactobacillus gasseri,lga
Streptomyces albireticuli,salj
Corynebacterium diphtheriae,crf
Chlamydia trachomatis,ctz
Streptococcus suis,ssuy
Roseateles depolymerans,rdp
Chlamydia psittaci,cpsa
Thermoanaerobacter sp.,tex
Mycobacterium shigaense,mshg
Mycoplasma gallisepticum,mgz
Hydrogenobaculum sp.,hho
Oligella urethralis,our
Limosilactobacillus frumenti,lfn
Desulfatibacillum aliphaticivorans,dal
Nocardioides aquaticus,naqu
Pseudothermotoga hypogea,phy
Candidatus Portiera,paly
Coriobacterium glomerans,cgo
Listeria monocytogenes,lmp
Legionella pneumophila,lpc
Flavobacterium psychrophilum,fpsz
Bifidobacterium animalis,bani
Bradyrhizobium sp.,bro
Leifsonia sp.,leif
Niastella koreensis,nko
Candidatus Blochmannia,bpn
Haemophilus pittmaniae,hpit
Acidovorax avenae,aaa
Chromobacterium sp.,chro
Wolbachia endosymbiont,wel
Mycobacterium diernhoferi,mdf
Candidatus Babela,dpb
Paracoccus suum,pars
Candidatus Melainabacteria,mbf
Corynebacterium minutissimum,cmin
Spiroplasma helicoides,shj
Spiroplasma chinense,schi
Devosia sp.,deq
Candidatus Nitrotoga,nim
Lactobacillus fermentum,lfr
Bacillus amyloliquefaciens,baml
Spiroplasma cantharicola,scj
Thiomicrospira sp.,thio
Tenacibaculum maritimum,tmar
Alysiella filiformis,aff
Lactobacillus delbrueckii,ldb
Pedobacter roseus,proe
Candidatus Arthromitus,asb
Corynebacterium gerontici,cgk
Campylobacter jejuni,cjej
Buchnera aphidicola,bas
Halomonas aestuarii,hsi
Sphingomonas lacunae,slan
Nocardia huaxiensis,nhu
Spiractinospora alimapuensis,saiu
Francisella tularensis,ftg
Mycoplasma gallisepticum,mgn
Chlamydia muridarum,cmm
Candidatus Methylospira,mmob
Brachybacterium sp.,brr
Enterococcus casseliflavus,ecas
MAG: Thermus,tant
Paenibacillus yonginensis,pyg
Pseudomonas aeruginosa,sech
Coxiella burnetii,cbg
Fructilactobacillus fructivorans,lfv
Campylobacter fetus,cff
Blautia liquoris,bliq
Constantimarinum furrinae,alti
Fictibacillus phosphorivorans,fpn
Carboxydothermus hydrogenoformans,chy
Streptomyces qaidamensis,stsi
Lactococcus paracarnosus,lpaa
Serratia sp.,serf
Catellatospora sp.,cati
Coriobacteriaceae bacterium,cbac
Helicobacter pylori,hca
Oceanobacillus sp.,ocb
Chryseobacterium nakagawai,cnk
Streptomyces alboniger,salw
Melittangium boletus,mbd
Weeksella virosa,wvi
Mycoplasma leachii,mlh
Sulfuriroseicoccus oceanibius,soa
Rickettsia prowazekii,rpo
Alteromonas mediterranea,amae
Maribacter cobaltidurans,marb
Aeromicrobium sp.,aeb
Paeniglutamicibacter sp.,paey
Streptomyces lydicus,slc
Janthinobacterium lividum,jlv
Escherichia coli,ecol
Streptomyces fradiae,sfb
Streptococcus suis,sup
Gemella haemolysans,gha
Mycobacterium sp.,mjl
Campylobacter pinnipediorum,cpin
Maribacter hydrothermalis,mart
Propionibacterium acnes,pacc
Corynebacterium imitans,cii
Sporosarcina ureae,sure
Litoricola lipolytica,llp
Bacillus lentus,blen
Comamonas aquatica,caqt
Rhodobaca barguzinensis,rbg
Brevundimonas pondensis,bpon
Neisseria meningitidis,nmt
Chryseobacterium gleum,cgle
MAG: Candidatus,thd
Staphylococcus aureus,sams
Sulfurospirillum sp.,suls
Melaminivora jejuensis,mje
Neisseria flavescens,nfv
Wolbachia endosymbiont,wdm
Pseudomonas putida,ppg
Halomonas olivaria,hol
Taylorella equigenitalis,teg
Streptomyces nigra,snz
Streptococcus sobrinus,ssob
Bifidobacterium animalis,banl
Chlamydia trachomatis,cfs
Mycolicibacterium vaccae,mvq
Francisella noatunensis,fna
Paludibacter propionicigenes,ppn
Desulfotomaculum kuznetsovii,dku
Rhodospirillum rubrum,rrf
Moraxella catarrhalis,mcat
Stenotrophomonas maltophilia,smt
Tenacibaculum todarodis,ten
Campylobacter jejuni,cjv
Nonlabens tegetincola,nsd
Streptococcus parasanguinis,scp
Thermotoga maritima,tma
Alkalitalea saponilacus,asx
Citrobacter pasteurii,cpar
Candidatus Phytoplasma,pluf
Chlamydia trachomatis,ctcj
Aeromonas jandaei,ajd
Mycobacterium novum,mnm
Enterobacter hormaechei,eclo
Pseudomonas promysalinigenes,pprg
Hymenobacter sedentarius,hyg
Pseudomonas soli,pmos
Thiosulfatimonas sediminis,tse
Streptomyces solisilvae,ssoi
Deinococcus puniceus,dpu
Campylobacter ureolyticus,cure
Serratia quinivorans,squ
Bifidobacterium animalis,bni
Nakamurella multipartita,nml
Neisseria meningitidis,nmq
Adlercreutzia sp.,ahat
Bacillus inaquosorum,biq
Spiroplasma sp.,sprn
Sideroxydans lithotrophicus,slt
Mucilaginibacter rubeus,mrub
Streptococcus agalactiae,sags
Kocuria varians,kvr
Aggregatibacter actinomycetemcomitans,aao
Actinobacillus equuli,aeu
Mycobacterium thermoresistibile,mthn
Elizabethkingia anophelis,emn
Bartonella australis,baus
Aquitalea magnusonii,amah
Actinobacillus pleuropneumoniae,apl
Microcystis panniformis,mpk
Candidatus Nucleicultrix,naf
Paenibacillus terrae,pta
Cognatishimia activa,cact
Rickettsia rickettsii,rrb
MAG: Austwickia,aus
Candidatus Moranella,meo
Streptococcus pneumoniae,snb
Orientia tsutsugamushi,ott
Microterricola viridarii,mvd
Gemella sp.,geq
Candidatus Evansia,eme
Bartonella apis,bapi
Nocardia asteroides,nad
Shewanella frigidimarina,sfr
Anaerostipes hadrus,bprl
Cellulosimicrobium cellulans,cceu
Pseudomonas tensinigenes,ptz
Erythrobacter neustonensis,pns
Sphingobacterium sp.,sphz
Trueperella pyogenes,tpyo
Marinobacter sp.,mari
Dickeya fangzhongdai,ced
Zymomonas mobilis,zmo
Mycoplasma capricolum,mcac
Candidatus Carsonella,crt
Methylovulum psychrotolerans,mpsy
Serratia ficaria,sfj
Staphylococcus piscifermentans,spic
Pasteurella multocida,pmp
Campylobacter upsaliensis,cux
Salmonella enterica,senn
Mariniblastus fucicola,mff
Photorhabdus luminescens,plu
Pseudomonas corrugata,pcg
Synechococcus WH7803,syx
Candidatus Rickettsiella,rvi
Butyricimonas virosa,bvir
Gramella salexigens,grl
Nocardioides aromaticivorans,naro
Candidatus Xiphinematobacter,xii
Corynebacterium resistens,crd
Mycoplasma bovis,mbh
Hankyongella ginsenosidimutans,hgn
Melioribacter roseus,mro
Shewanella halifaxensis,shl
Treponema vincentii,trz
Helicobacter pylori,hez
Cellulomonas iranensis,cira
Gynuella sunshinyii,gsn
Paenibacillus lycopersici,plyc
Streptococcus canis,scai
Spiroplasma eriocheiris,seri
Salmonella enterica,sens
Syntrophobacter fumaroxidans,sfu
Salmonella enterica,seep
Pectobacterium carotovorum,pct
Enterobacter aerogenes,eae
Noviherbaspirillum sp.,nok
Niabella ginsenosidivorans,nia
Neisseria meningitidis,nma
Caldicellulosiruptor owensensis,cow
Francisella tularensis,ftv
Candidatus Symbiopectobacterium,sym
Rhodococcus sp.,rhu
Nordella sp.,noh
Corynebacterium glutamicum,cgm
Bacillus sp.,balm
Colwellia sp.,coz
Streptomyces chromofuscus,schf
Paenibacillus sp.,paee
Gemmatimonas aurantiaca,gau
Shigella flexneri,sft
Candidatus Endolissoclinum,thal
Marinomonas mediterranea,mme
Staphylococcus aureus,sao
Aurantimicrobium photophilum,aum
Caproiciproducens sp.,capr
Limihaloglobus sulfuriphilus,pbas
Helicobacter pylori,hei
Xanthomonas translucens,xtn
Candidatus Nanosynbacter,nft
Listeria welshimeri,lwe
Campylobacter jejuni,cjei
Salmonella enterica,spq
Thermoanaerobacter tengcongensis,tte
Arachidicoccus sp.,arb
Stella vacuolata,svc
Escherichia coli,elp
Helicobacter pylori,hpyf
Stenotrophomonas sp.,stes
[Mycoplasma] phocidae,mpho
Starkeya novella,sno
Flavobacterium alkalisoli,fak
Parvimonas micra,pmic
Flavobacterium album,falb
Anaeromyxobacter dehalogenans,ade
Faecalibacter bovis,fbo
Metamycoplasma anseris,mane
Listeria monocytogenes,lmo
Thiocystis violascens,tvi
Arcobacter butzleri,abt
Halarcobacter ebronensis,hebr
Halothermothrix orenii,hor
Arthrobacter sp.,arm
Mycoplasma pneumoniae,mpb
Chlamydophila pecorum,cpm
Megasphaera elsdenii,med
Coxiella-like endosymbiont,ceq
Caldithrix abyssi,caby
Treponema pallidum,tpp
Lichenihabitans sp.,liz
Leptotrichia sp.,leo
Acidipropionibacterium jensenii,aji
Gordonia otitidis,goi
Gemmata massiliana,gms
Bifidobacterium longum,blm
Bifidobacterium asteroides,bast
Polaromonas sp.,poo
Helicobacter pylori,hem
Wolbachia endosymbiont,wpi
Escherichia coli,ecl
Alteromonas naphthalenivorans,alt
Mongoliitalea daihaiensis,mda
Brevibacillus sp.,brw
Tetragenococcus halophilus,tey
Enterococcus cecorum,ecec
Dyella thiooxydans,dtx
Aurantimonas sp.,aub
Zhongshania aliphaticivorans,zal
Nocardiopsis alba,nal
Haemophilus aegyptius,haeg
Nonomuraea nitratireducens,now
Bdellovibrio exovorus,bex
Streptomyces huasconensis,shk
Francisella noatunensis,fnn
Bacillus coagulans,bck
Providencia rustigianii,prj
Nocardioides piscis,npi
Helicobacter pylori,hpyg
Granulicella mallensis,gma
Spiroplasma culicicola,scq
Epilithonimonas vandammei,eva
Bacteriovorax stolpii,bsto
Herbaspirillum seropedicae,hsz
Microbacterium protaetiae,mprt
Bartonella clarridgeiae,bcd
Corynebacterium pseudotuberculosis,cpsf
Saccharothrix espanaensis,sesp
Aerococcus urinae,aur
Exiguobacterium sp.,exu
Prochlorococcus marinus,pma
Dokdonia donghaensis,ddo
Mycoplasma sp.,myg
Pandoraea pnomenusa,ppnm
Archangium violaceum,avm
Mycolicibacterium helvum,mhev
Bacterioplanes sanyensis,bsan
Chlamydia trachomatis,cttj
Bradyrhizobium vignae,bvz
Maricaulis maris,mmr
Treponema phagedenis,tphg
Klebsiella michiganensis,kmi
Nautilia sp.,nap
Paraneptunicella aestuarii,paew
Sanguibacter keddieii,ske
complete chromosome,abra
Winogradskyella sp.,win
Mycoplasma leachii,mlc
MAG: candidate,bgw
Neisseria shayeganii,nsg
Streptococcus sp.,strn
Desulfotomaculum nigrificans,dca
Proteus hauseri,phau
Pseudomonas aeruginosa,psg
Candidatus Steffania,sade
Rhodophyticola sp.,boo
Corynebacterium liangguodongii,clia
Mycobacterium saskatchewanense,msak
Aggregatibacter aphrophilus,aaz
Synechococcus sp.,synw
Geobacter daltonii,geo
Peptoniphilus sp.,amei
Actinocatenispora sera,aser
Streptococcus acidominimus,saco
Mucisphaera calidilacus,mcad
Ruminococcus champanellensis,rch
Candidatus Reidiella,rev
Ruminococcaceae bacterium,rbp
Aerococcus sanguinicola,asan
Aequorivita sp.,aev
Corynebacterium pseudotuberculosis,cpl
Streptococcus salivarius,ssah
Bordetella sp.,boh
Halobacillus mangrovi,hmn
Corynebacterium pseudotuberculosis,cpk
Mycoplasma felis,mfel
Fervidobacterium nodosum,fno
Corynebacterium endometrii,cee
Streptacidiphilus bronchialis,stri
Corynebacterium ulcerans,cue
Pseudomonas synxantha,pfb
Marinomonas posidonica,mpc
gamma proteobacterium,gpb
Nocardia brasiliensis,nbr
Capnocytophaga sp.,col
Pseudohongiella spirulinae,pspi
Amylolactobacillus amylophilus,lah
Corynebacterium cystitidis,ccys
Streptococcus sp.,sig
Myxococcus fulvus,mfb
Sulfurimonas denitrificans,tdn
Candidatus Pelagibacter,pel
Aquimarina sp.,aqd
Escherichia coli,ebw
Prochlorococcus marinus,pmm
Streptococcus anginosus,sans
Dolosigranulum pigrum,dpm
Dehalococcoides mccartyi,dmd
Steroidobacter denitrificans,sdf
Mucilaginibacter mali,mmab
Metabacillus dongyingensis,mdg
Pseudomonas denitrificans,pdr
Micropruina glycogenica,mgg
Egibacter rhizosphaerae,erz
Campylobacter rectus,crx
Neobacillus mesonae,nmk
Halopseudomonas pelagia,hpeg
Halomonas elongata,hel
Herbinix sp.,hsd
Bacillus vallismortis,bvm
Moorella thermoacetica,mthz
Legionella waltersii,lwa
Neoasaia chiangmaiensis,nch
Pseudomonas azerbaijanoriens,paze
Klebsiella pneumoniae,kpp
Rugosibacter aromaticivorans,rbu
Xanthomonas oryzae,xom
Chryseobacterium indologenes,cio
Streptococcus mutans,smua
Streptomyces cinereoruber,scin
Xanthomonas oryzae,xoz
Lactobacillus delbrueckii,ldl
Neisseria meningitidis,nmh
Mycobacterium tuberculosis,mtul
Sulfuricaulis limicola,slim
Cruoricaptor ignavus,civ
Thermodesulfovibrio yellowstonii,tye
Mesotoga infera,minf
Pseudomonas zarinae,pza
Sulfurospirillum halorespirans,shal
Sphingomonas piscis,spii
Alistipes communis,acou
Neorickettsia helminthoeca,nhm
Raoultella terrigena,rtg
Acinetobacter baumannii,abh
Kluyvera intermedia,kie
Bacteroides dorei,bdh
Chryseobacterium piperi,cpip
Taylorella equigenitalis,teq
Listeria monocytogenes,lml
Corynebacterium sp.,coa
Sediminibacillus sp.,sedd
Rhodopseudomonas boonkerdii,rbk
Synechococcus sp.,syd
Aeromonas simiae,asim
Sulfurimonas xiamenensis,suln
Altererythrobacter sp.,alh
Rothia mucilaginosa,rmu
Microbacterium schleiferi,msf
Paenibacillus sp.,paen
Streptococcus pneumoniae,snm
Corynebacterium urealyticum,cur
Pasteurella atlantica,patl
Chromobacterium vaccinii,cvc
Campylobacter jejuni,cjq
Streptococcus equi,sez
MAG: Thiohalocapsa,thip
Neisseria brasiliensis,nbl
Crassaminicella profunda,cprf
Ectothiorhodospira haloalkaliphila,hhc
Helicobacter pylori,hpys
Treponema pallidum,tpa
Rothia aeria,raj
Mycoplasma hominis,mhom
Mycobacterium bovis,mbm
Dehalococcoides mccartyi,dmz
Bacillus sp.,bacb
Dickeya dianthicola,ddq
Croceimicrobium hydrocarbonivorans,chyd
Mesoplasma syrphidae,msyr
Streptococcus salivarius,stj
Sulfurovum sp.,sun
Roseimicrobium sp.,roo
Streptomyces rapamycinicus,src
Streptomyces xiamenensis,sxi
Bacillus anthracis,bat
Faecalibacterium prausnitzii,fpa
Campylobacter curvus,ccv
Campylobacter lari,cln
Mycoplasma capricolum,mcai
Tetrasphaera sp.,teh
Streptococcus merionis,smen
Mycolicibacterium litorale,mll
Peptoniphilus harei,phar
Candidatus Kinetoplastibacterium,kso
Edwardsiella sp.,edw
Mycobacterium smegmatis,msb
Bordetella sp.,boj
Mycoplasma capricolum,mcar
Methyloligella sp.,metg
Nocardioides sp.,noo
Lacticaseibacillus zeae,lze
Desulfuromonas versatilis,dve
Cellulophaga algicola,cao
Rickettsia rickettsii,rri
Clostridiales sp.,bprm
Flavobacterium endoglycinae,fen
Bordetella petrii,bpt
Staphylococcus aureus,sud
Streptococcus pneumoniae,spd
Tumebacillus algifaecis,tab
Bradyrhizobium japonicum,bjp
Alkalihalobacillus krulwichiae,bkw
Nitrobacter winogradskyi,nwi
Corynebacterium kutscheri,cku
Dysgonomonas sp.,dys
Bacteroides zoogleoformans,bzg
Halomonas axialensis,haxi
Bacillus sp.,gst
Mycobacterium shinjukuense,mshj
Megasphaera hexanoica,mhw
Mycobacterium tuberculosis,mte
Wolbachia endosymbiont,wew
Castellaniella defragrans,cdn
Hathewaya histolytica,hhw
Pseudomonas aeruginosa,paev
Azoarcus sp.,azr
Thalassolituus oleivorans,tol
Amycolatopsis sp.,amyb
Rathayibacter toxicus,rtx
Streptomyces rimosus,srim
Protaetiibacter larvae,lyk
Staphylococcus aureus,suv
Pantoea rwandensis,kln
Azospira inquinata,aiq
Flavihumibacter sp.,flv
Pseudomonas parafulva,ppv
Corynebacterium pseudotuberculosis,cpz
Streptococcus thermophilus,stn
Riemerella anatipestifer,rai
Mycobacterium vanbaalenii,mva
Halothiobacillus sp.,haz
Pseudomonas stutzeri,psc
Corynebacterium glutamicum,cgs
Flavobacteriaceae bacterium,fbe
Citrobacter youngae,cyo
Desulfocurvibacter africanus,daf
Paenibacillus sophorae,psop
Tenericutes bacterium,tbk
Tepidimonas taiwanensis,ttw
Treponema denticola,tde
Wolbachia endosymbiont,weh
Mycobacterium bovis,mbk
Helicobacter pylori,hpj
Helicobacter winghamensis,hwi
Mycolicibacterium duvalii,mdu
Xanthomonas campestris,xcb
Streptomyces hawaiiensis,shaw
Martelella endophytica,mey
Bacillus sp.,baco
Desulfomarina profundi,dbk
Eikenella corrodens,ecor
Pelosinus fermentans,pft
Teredinibacter turnerae,ttu
Streptomyces rochei,srj
Mycolicibacterium gadium,mgad
Eggerthella sp.,eyy
Streptomyces laurentii,slau
Wigglesworthia glossinidia,wgl
Alteromonas sp.,alz
Labrenzia sp.,labr
Thermomonas sp.,theh
Helicobacter pylori,hhr
Streptococcus agalactiae,,sagt
Propionibacterium freudenreichii,pfr
Lysinibacillus sp.,lys
Staphylococcus aureus,saue
Stella sp.,stel
Filimonas lacunae,fln
Acetilactobacillus jinshanensis,lji
Sutterella wadsworthensis,sws
Ralstonia solanacearum,rsc
Aeromonas rivuli,ariv
Neisseria subflava,nsf
Spirosoma montaniterrae,smon
Rheinheimera sp.,rhh
Syntrophobotulus glycolicus,sgy
Staphylococcus carnosus,sca
Mycobacterium canettii,mcz
Paenarthrobacter ureafaciens,pue
Halomonas titanicae,htt
Streptococcus agalactiae,sgc
Candidatus Sulcia,smum
Mycobacterium tuberculosis,mtc
Pelolinea submarina,psub
Apibacter sp.,apib
Pseudomonas orientalis,poi
Aeromonas hydrophila,ahj
Renibacterium salmoninarum,rsa
Limnochorda pilosa,lpil
Leptotrichia goodfellowii,lgo
Colwellia sp.,colw
Hyphobacterium sp.,hyt
Ignavibacterium album,ial
Helicobacter pylori,hpz
Allofrancisella frigidaquae,afri
Magnetospirillum gryphiswaldense,mgy
Bordetella parapertussis,bpa
Candidatus Puniceispirillum,apb
Pelotomaculum thermopropionicum,pth
Mycobacterium holsaticum,mhol
Aeromonas hydrophila,aha
Flavonifractor plautii,fpla
Rhodococcus sp.,rhw
Campylobacter hyointestinalis,chyo
Enterobacter sp.,ens
Acinetobacter baumannii,abaa
Polynucleobacter duraquae,pdq
Nitratifractor salsuginis,nsa
Lactobacillus koreensis,lko
Brevundimonas sp.,brev
Pseudomonas glycinae,pgy
Collimonas fungivorans,cfu
Kerstersia gyiorum,kgy
Erythrobacter mangrovi,emv
Aggregatibacter segnis,aseg
Bibersteinia trehalosi,btra
Thermotoga maritima,tmx
Bifidobacterium animalis,bbb
Usitatibacter rugosus,uru
Gemella sanguinis,gsa
Ornithinimicrobium ciconiae,orz
Nitrospira japonica,nja
Streptococcus pneumoniae,sne
Turicibacter sp.,tur
Escherichia coli,ecok
Chlamydia trachomatis,ctjt
Isorropodon fossajaponicum,ifo
Salmonella enterica,senq
Microlunatus elymi,mik
Morococcus cerebrosus,mcer
Mycoplasma mycoides,mmy
Streptococcus thermophilus,sthe
Cyclobacterium amurskyense,camu
Mannheimia succiniciproducens,msu
Buchnera aphidicola,baw
Allobranchiibius sp.,alx
Brachyspira pilosicoli,bpo
Helicobacter pylori,hex
